Point,Sample.ID.Lab,Horizon,Observational.Method,Potential.Series..in.progress.,To.Depth..cm.,H.Depth.cm.,Boundary..Bnd.,Matrix.Color,lab_clay,lab_sand,lab_silt,lab_texture_class,LPSA_texture_status,Field.Texture,Field.Clay..,Structure,Consistence,Notes,Date.Sampled,Depth.to.water.table..if.known.,Taxonomy,Disturbance.,Column1,series_raw,series_clean,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxmineralogy,taxactivity,taxtemp
63,240371,Ap1,Auger,Faceville,0-26,26,C,10YR3/3,7.455,80.7,11.845,LS,ALL_CLASS_AGREE,LS,,1FGr,FR,5% 5YR4/4 bodies,5/29/2024,,,NA,NA,Faceville,Faceville,"Fine, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine,Kaolinitic,NA,Thermic
63,240372,Ap2,Auger,Faceville,26-45,19,A,10YR3/3,7.51,79.95,12.54,LS,ALL_CLASS_AGREE,SL,,1MSBK,FR,20% 10YR3/2 bodies,5/29/2024,,,NA,NA,Faceville,Faceville,"Fine, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine,Kaolinitic,NA,Thermic
63,240373,Bt1,Auger,Faceville,45-116,71,G,2.5YR4/6,66.5,28.05,5.45,C,ALL_CLASS_AGREE,C,,2CSBK,FT,,5/29/2024,,,NA,NA,Faceville,Faceville,"Fine, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine,Kaolinitic,NA,Thermic
63,240374,Bt2,Auger,Faceville,116-152+,36,,2.5YR4/6,66.75,28.4,4.85,C,ALL_CLASS_AGREE,CL,,2MSBK,FR,,5/29/2024,,,NA,NA,Faceville,Faceville,"Fine, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine,Kaolinitic,NA,Thermic
55,250197,Ap,Auger,Greenville,0-35,35,A,7.5YR4/4,6.645,82.45,10.905,LS,CLASS_OK,,,1MGr,,,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
55,250198,Bt1,Auger,Greenville,35-55,20,C,5YR4/6,43.6,44.1,12.3,C,ALL_CLASS_AGREE,,,2MSBK,,few charcoal,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
55,250199,Bt2,Auger,Greenville,55-100,45,Gr,2.5YR4/6,58.25,32.45,9.3,C,ALL_CLASS_AGREE,,,2MSBK,,few charcoal fragments- large,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
55,250200,Bt3,Auger,Greenville,100-150+,50,,2.5YR3/6,71.35,24.2,4.45,C,ALL_CLASS_AGREE,,,2MSBK,,few charcoal fragments. Mn present.,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
70,250201,Ap,Auger,Greenville,0-29,29,A,7.5YR4/3,8.065,79.2,12.735,LS,RESCUED_5PCT,,,1MGr,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
70,250202,BA,Auger,Greenville,29-60,31,C,2.5YR4/6,50.85,38.2,10.95,C,ALL_CLASS_AGREE,,,1MSBK,,few charcoal,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
70,250203,Bt1,Auger,Greenville,60-115,55,Gr,2.5YR3/6,65.15,29.25,5.6,C,ALL_CLASS_AGREE,,,2MSBK,,few charcoal,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
70,250204,Bt2,Auger,Greenville,115-150+,139,,2.5YR3/6,71.5,24.5,4,C,ALL_CLASS_AGREE,,,2MSBK,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
71,250205,Ap1,Auger,Greenville,0-33,33,A,10YR3/2,11.95,68.7,19.35,SL,ALL_CLASS_AGREE,,,1MGr,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
71,250206,BA,Auger,Greenville,33-44,11,C,7.5YR3/4,13.9,70.05,16.05,SL,CLASS_OK,,,1MGr,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
71,250207,Bt1,Auger,Greenville,44-71,27,C,5YR3/4,37.25,48.2,14.55,SC,ALL_CLASS_AGREE,,,1MSBK,,common charcoal ,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
71,250208,Bt2,Auger,Greenville,71-110,39,Gr,2.5YR3/4,65.25,28.1,6.65,C,ALL_CLASS_AGREE,,,2MSBK,,few charcoal,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
71,250209,Bt3,Auger,Greenville,110-150+,40,,2.5YR3/6,71.1,24.55,4.35,C,ALL_CLASS_AGREE,,,2MSBK,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
72,250210,Ap,Auger,Greenville,0-20,20,C,10YR3/4,10.55,80.45,9,SL,OK,,,1MGr,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
72,250211,BA,Auger,Greenville,20-40,20,Gr,5YR4/6,31.75,47.55,20.7,SCL,RESCUED_5PCT,,,1MSBK,,"organic stains, Mn",3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
72,250212,Bt1,Auger,Greenville,40-78,38,Gr,2.5YR4/6,31.15,57.8,11.05,SCL,CLASS_OK,,,2MSBK,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
72,250213,Bt2,Auger,Greenville,78-150+,72,,2.5YR3/6,66.1,29.6,4.3,C,ALL_CLASS_AGREE,,,2MSBK,,"sub-rounded quartz fragments, fine",3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
73,250214,^Ap,Auger,Greenville,0-15,15,C,7.5YR4/6,35.25,56.6,8.15,SC,ALL_CLASS_AGREE,,,1MGr,,"peanut residue, charcoal",3/20/2025,,,1,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
73,250215,^C1,Auger,Greenville,15-43,28,C,5YR4/6,27.2,58.75,14.05,SCL,RESCUED_5PCT,,,SLSMa,,FILL,3/20/2025,,,1,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
73,250216,^C2,Auger,Greenville,43-84,41,Gr,5YR3/4,35.6,51.45,12.95,SC,ALL_CLASS_AGREE,,,SLSMa,,FILL,3/20/2025,,,1,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
73,250217,^C3,Auger,Greenville,84-125,41,A,7.5YR5/6,27,60.8,12.2,SCL,RESCUED_5PCT,,,SLSMa,,organic matter throughout ,3/20/2025,,,1,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
73,250218,2Bt,Auger,Greenville,125-150+,25,,2.5YR4/8,21.6,67.125,11.275,SCL,RESCUED_5PCT,,,2MSBK,,,3/20/2025,,,1,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
79,250219,Ap1,Auger,Orangeburg,0-28,28,C,10YR4/3,54.3,36.05,9.65,C,CLASS_OK,,,1MGr,,,3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
79,250220,Ap2,Auger,Orangeburg,28-41,13,C,7.5YR4/4,68.2,27.5,4.3,C,ALL_CLASS_AGREE,,,1MSBK,,"organic stains, common yellow concentrations",3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
79,250221,AE,Auger,Orangeburg,41-60,19,Gr,5YR4/6,48.2,46.8,5,SC,CLASS_OK,,,1MSBK,,"organic stains, common yellow concentrations, 5YR5/8",3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
79,250222,BE,Auger,Orangeburg,60-102,42,Gr,5YR4/6,9.035,84.2,6.765,LS,ALL_CLASS_AGREE,,,1MSBK,,few 5YR5/8,3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
79,250223,Bt1,Auger,Orangeburg,102-118,16,Gr,5YR4/6,21.4,72,6.6,SCL,ALL_CLASS_AGREE,,,1MSBK,,roots present,3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
79,250224,Bt2,Auger,Orangeburg,118-150+,32,,2.5YR4/6,41.9,54.25,3.85,SC,ALL_CLASS_AGREE,,,2MSBK,,,3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
80,250225,Ap1,Auger,Troup,0-23,23,,10YR3/3,6.265,89.5,4.235,S,ALL_CLASS_AGREE,,,1MGr,,,3/20/2025,,,NA,NA,Troup,Troup,"Loamy, kaolinitic, thermic Grossarenic Kandiudults",Ultisols,Udults,Kandiudults,Grossarenic Kandiudults,Loamy,Kaolinitic,NA,Thermic
80,250226,Ap2,Auger,Troup,23-44,21,,10YR5/3,5.945,88.05,6.005,S,RESCUED_5PCT,,,1MGr,,,3/20/2025,,,NA,NA,Troup,Troup,"Loamy, kaolinitic, thermic Grossarenic Kandiudults",Ultisols,Udults,Kandiudults,Grossarenic Kandiudults,Loamy,Kaolinitic,NA,Thermic
80,250227,AE,Auger,Troup,44-85,41,,10YR4/4,7.78,85.2,7.02,LS,ALL_CLASS_AGREE,,,2MSBK,,"few depletions, organic staining, 5YR 5/3",3/20/2025,,,NA,NA,Troup,Troup,"Loamy, kaolinitic, thermic Grossarenic Kandiudults",Ultisols,Udults,Kandiudults,Grossarenic Kandiudults,Loamy,Kaolinitic,NA,Thermic
80,250228,BE,Auger,Troup,85-135,50,,7.5YR5/6,7.055,86.05,6.895,LS,ALL_CLASS_AGREE,LS,,1MSBK,,"common depletions, 7.5YR5/4",3/20/2025,,,NA,NA,Troup,Troup,"Loamy, kaolinitic, thermic Grossarenic Kandiudults",Ultisols,Udults,Kandiudults,Grossarenic Kandiudults,Loamy,Kaolinitic,NA,Thermic
80,250229,Bt,Auger,Troup,135-150+,15,,5YR5/8,22.15,72.85,5,SCL,ALL_CLASS_AGREE,SL,,1MSBK,,few depletions 7.5YR5/4,3/20/2025,,,NA,NA,Troup,Troup,"Loamy, kaolinitic, thermic Grossarenic Kandiudults",Ultisols,Udults,Kandiudults,Grossarenic Kandiudults,Loamy,Kaolinitic,NA,Thermic
59,250230,^C,Auger,fill,0-50+,50,,2.5YR4/4,49.7,40.5,9.8,C,CLASS_OK,,,2MSBK,,Fill. Did not go farther than 50 cm,5/20/2025,,,1,NA,fill,fill,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,250231,Ap,Auger,Greenville,0-25,25,C,10YR3/2,28.35,35.6,36.05,CL,CLASS_OK,,,,,,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
57,250232,BA,Auger,Greenville,25-45,20,C,2.5YR3/3,54.3,36.05,9.65,C,OK,,,,,,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
57,250233,Bt1,Auger,Greenville,45-81,36,C,2.5YR3/4,63.5,25.8,10.7,C,ALL_CLASS_AGREE,,,,,"common charcoal fragments, large",5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
57,250234,Bt2,Auger,Greenville,81-125,44,Gr,2.5YR3/6,61.55,31,7.45,C,ALL_CLASS_AGREE,,,,,"common charcoal fragments, large",5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
57,250235,Bt3,Auger,Greenville,125-150+,25,,2.5YR4/6,64.6,29.6,5.8,C,ALL_CLASS_AGREE,,,,,"common charcoal fragments, large",5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
56,250236,Ap,Auger,Greenville,0-32,32,C,7.5YR4/4,5.8,84.65,9.55,LS,ALL_CLASS_AGREE,,,1MGr,L,,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
56,250237,Bt1,Auger,Greenville,32-57,25,Gr,2.5YR4/6,27,60.8,12.2,SCL,OK,,,2MSBK,FR,few charcoal fragments and organic stains,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
56,250238,Bt2,Auger,Greenville,57-115,58,Gr,2.5YR4/6,68.05,26.45,5.5,C,ALL_CLASS_AGREE,,,2MSBK,FR,,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
56,250239,Bt3,Auger,Greenville,115-150+,35,,2.5YR4/6,21.6,67.125,11.275,SCL,OK,,,2MSBK,FR,,5/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
66,250240,Ap,Auger,Greenville,0-35,35,Gr,10YR4/3,5.24,85.05,9.71,LS,ALL_CLASS_AGREE,,,1MGr,,,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
66,250241,Bt1,Auger,Greenville,35-62,27,C,5YR4/6,27.2,60.35,12.45,SCL,CLASS_OK,,,1MSBK,,organic stains,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
66,250242,Bt2,Auger,Greenville,62-100,38,Gr,2.5YR4/8,67.4,24.7,7.9,C,ALL_CLASS_AGREE,,,2MSBK,,"organic stains, rounded quartz",5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
66,250243,Bt3,Auger,Greenville,100-150,50,,2.5YR3/6,69.95,25.8,4.25,C,ALL_CLASS_AGREE,,,2MSBK,,,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
67,250244,Ap,Auger,Greenville,0-20,20,A,7.5YR4/4,6.97,83.45,9.58,LS,ALL_CLASS_AGREE,,,1MGr,,,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
67,250245,Bt1,Auger,Greenville,20-58,38,Gr,2.5YR4/6,62.3,28.2,9.5,C,CLASS_OK,,,2MSBK,,"organic stains, charcoal few",5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
67,250246,Bt2,Auger,Greenville,58-106,48,Gr,2.5YR4/6,68.95,27.05,4,C,ALL_CLASS_AGREE,,,2MSBK,,charcoal few,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
67,250247,Bt3,Auger,Greenville,106-150+,44,,2.5YR3/6,71.9,24.25,3.85,C,ALL_CLASS_AGREE,,,2MSBK,,,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
64,250248,Ap1,Auger,Greenville,0-30,30,C,7.5YR3/3,5.24,85.15,9.61,LS,ALL_CLASS_AGREE,,,1MGr,,,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
64,250249,Ap2,Auger,Greenville,30-41,11,A,5YR3/4,14.6,70.8,14.6,SL,ALL_CLASS_AGREE,,,1MGr,,long organic stains from roots,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
64,250250,BA,Auger,Greenville,41-61,20,Gr,2.5YR4/6,50.35,39.4,10.25,C,ALL_CLASS_AGREE,,,2MSBK,,"common orgainic stains, few rounded quartz",5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
64,250251,Bt1,Auger,Greenville,61-111,50,Gr,2.5YR3/6,68.55,26.25,5.2,C,ALL_CLASS_AGREE,,,2MSBK,,organic stains,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
64,250252,Bt2,Auger,Greenville,111-150+,39,,2.5YR3/6,73.2,22.7,4.1,C,ALL_CLASS_AGREE,,,2MSBK,,,5/29/2024,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
75,250253,Ap1,Auger,Greenville,0-17,17,C,10YR3/4,6.035,82.65,11.315,LS,ALL_CLASS_AGREE,LS,,1MGr,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
75,250254,Ap2,Auger,Greenville,17-28,11,C,7.5YR4/3,6.21,82.4,11.39,LS,ALL_CLASS_AGREE,Sl,,1MSBK,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
75,250255,BA,Auger,Greenville,28-46,18,C,2.5YR4/6,43.65,43.25,13.1,C,CLASS_OK,SCL,,2MSBK,,"organic staining from roots, roots present",3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
75,250256,Bt1,Auger,Greenville,46-75,29,C,2.5YR4/6,56.05,35.3,8.65,C,ALL_CLASS_AGREE,SCL,,2MSBK,,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
75,250257,Bt2,Auger,Greenville,75-150+,75,,2.5YR3/6,70.95,24.55,4.5,C,ALL_CLASS_AGREE,C,,2CoSBK,,possibly CL,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
78,250258,Ap1,Auger,Orangeburg,0-17,17,C,10YR4/3,4.82,89.25,5.93,S,ALL_CLASS_AGREE,,,1MGr,,,3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
78,250259,Ap2,Auger,Orangeburg,17-31,14,C,10YR4/3,7.45,85.6,6.95,LS,CLASS_OK,,,1MGr,,,3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
78,250260,AE,Auger,Orangeburg,31-60,29,C,7.5YR4/6,13.6,78.15,8.25,SL,ALL_CLASS_AGREE,,,1MSBK,,,3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
78,250261,E,Auger,Orangeburg,60-107,47,C,7.5YR5/8,8.73,83.1,8.17,LS,ALL_CLASS_AGREE,,,1MSBK,,organic stains,3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
78,250262,Bt,Auger,Orangeburg,107-150+,43,,5YR5/6,30.5,62,7.5,SCL,ALL_CLASS_AGREE,,,1MSBK,,"few depletions along root channels, <1% charcoal",3/20/2025,,,NA,NA,Orangeburg,Orangeburg,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,Fine-loamy,Kaolinitic,NA,Thermic
76,250263,Ap1,Auger,Greenville,0-20,20,C,7.5YR4/3,6.525,81.45,12.025,LS,ALL_CLASS_AGREE,,,1MGr,L,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
76,250264,Ap2,Auger,Greenville,20-33,13,C,7.5YR4/3,6.59,81.3,12.11,LS,ALL_CLASS_AGREE,,,1MGr,L,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
76,250265,BA,Auger,Greenville,33-48,15,C,5YR4/4,10.785,74.5,14.715,SL,ALL_CLASS_AGREE,,,1MSBK,VFR,organic stains,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
76,250266,Bt1,Auger,Greenville,48-67,19,C,2.5YR4/6,23.4,63.35,13.25,SCL,CLASS_OK,,,2MSBK,FR,common 7.5YR5/6,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
76,250267,Bt2,Auger,Greenville,67-89,22,C,2.5YR3/6,38.55,50.9,10.55,SC,CLASS_OK,,,2MSBK,FR,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
76,250268,Bt3,Auger,Greenville,89-130,41,Gr,2.5YR3/6,73,21.7,5.3,C,ALL_CLASS_AGREE,,,2MSBK,FR,,3/20/2025,,,NA,NA,Greenville,Greenville,"Fine, kaolinitic, thermic Rhodic Kandiudults",Ultisols,Udults,Kandiudults,Rhodic Kandiudults,Fine,Kaolinitic,NA,Thermic
