"peiid","taxonname_clean","taxonname_key","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","POINT_X","POINT_Y","phiidref","labsampnum","layerseqnum","hzdept","hzdepb","hzname","texcl","ncsslayerlabdataiid","sandtotmeasured","silttotmeasured","claytotmeasured","cec7","colorhue","colorvalue","colorchroma"
890496,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3792278,32.3617472,4410587,"11N00482",11,38,50,"Bt","Sandy clay loam",432741,63.7999992,8.3999996,27.7999992,NA,"10YR",6,6
890496,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3792278,32.3617472,4410585,"11N00479",8,0,2,"A","Loamy sand",432738,86.5,9.5,4,NA,"10YR",5,2
890497,"Tifton","TIFTON","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3790556,32.3614528000001,4410589,"11N00484",13,2,15,"A","Loamy sand",432743,83.5999985,9.8000002,6.5999999,NA,"10YR",4,2
890497,"Tifton","TIFTON","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3790556,32.3614528000001,4410590,"11N00485",14,15,34,"Ec","Sandy loam",432744,77.1999969,12.5,10.3000002,NA,"10YR",6,4
890497,"Tifton","TIFTON","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3790556,32.3614528000001,4410591,"11N00486",15,34,50,"Btc","Sandy clay loam",432745,66,9.6999998,24.2999992,NA,"10YR",6,6
890497,"Tifton","TIFTON","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3790556,32.3614528000001,4410589,"11N00483",12,0,2,"A","Loamy sand",432742,84.4000015,10.1000004,5.5,NA,"10YR",4,2
890498,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3788443999999,32.3611472000001,4410593,"11N00488",17,2,18,"A","Loamy sand",432747,83.3000031,11.6999998,5,NA,"10YR",5,2
890498,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3788443999999,32.3611472000001,4410594,"11N00489",18,18,45,"Bt","Sandy clay loam",432748,70.1999969,9.3000002,20.5,NA,"10YR",6,6
890498,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3788443999999,32.3611472000001,4410593,"11N00487",16,0,2,"A","Sandy loam",432746,79.0999985,11.3000002,9.6000004,NA,"10YR",5,2
890499,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3792888999999,32.3611000000001,4410596,"11N00491",20,2,16,"A","Loamy sand",432750,84.5999985,9.8999996,5.5,NA,"10YR",4,2
