"peiidref","seqnum","hzdept.x","hzdepb.x","hzthk_r","hzthk_h","obsmethod","hzname.x","hzname_s","desgndisc","desgnmaster","desgnmasterprime","desgnvert","texture","texture_s","stratextsflag.x","claytotest","silttotest","sandtotest","fragvoltot","horcolorvflag","obssoimoiststat","rupresblkmst","rupresblkdry","rupresblkcem","rupresplate","mannerfailure","stickiness","plasticity","toughclass","penetrres","penetorient","horzpermclass","phfield","phdetermeth","effclass","efflocation","effagent","carbdevstagefe","carbdevstagecf","mneffclass","mneffagent","reactadipyridyl","dipyridylloc","excavdifcl","soilodor","soilodorintensity","rmonosulfidep","bounddistinct","boundtopo","dspcomplayerid","aashtocl","unifiedcl","recwlupdated.x","recuseriidref.x","phiid","labsampnum.x","peiidref.y","ncsslayerlabdataiid","layerdepthtop","layerdepthbottom","ncsspedonlabdataiidref","layerseqnum","labsampnum.y","hzdept.y","hzdepb.y","layertype","hzname.y","hznameoriginal","stratextsflag.y","moistprepstate","texcl","sandvcmeasured","sandcomeasured","sandmedmeasured","sandfinemeasured","sandvfmeasured","sandtotmeasured","siltcomeasured","siltfinemeasured","silttotmeasured","claycarbmeasured","clayfinemeasured","claytotmeasured","carbonorganicpctmeasured","carbontotalpctmeasured","ompctest","fiberrubbedpct","fiberunrubbedpct","fragwt25","fragwt520","fragwt2075","fragwt275","wtpct0175","wtpctgt2ws","ph1to1h2o","ph01mcacl2","phnaf","resistivity","ecmeasured","esp","sar","cecsumcations","cec7","ecec","sumbases","basesatsumcations","basesatnh4oac","caco3equivmeasured","gypsumequivlt2measured","feoxalatemeasured","feextractable","fetotal","sioxalatemeasured","extracid","extral","aloxalatemeasured","altotal","pmehlich3","poxalatemeasured","polsenmeasured","ptotalmeasured","nzpretention","dbthirdbar","dbovendry","aggstabpct","wtenthbarclod","wtenthbarsieve","wthirdbarclod","wthirdbarsieve","wfifteenbarmeasured","wretentiondiffws","wfifteenbartoclay","adod","lep","cole","liquidlimitmeasured","pi","recwlupdated.y","recuseriidref.y","upedonid","taxonname.x","taxclname.x","labsourceid","pedlabsampnum","pedonhydricrating","grpiidref","classtype","classdate","taxonname.y","taxclname.y","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxtempcl","taxmoistscl","taxtempregime","soiltaxedition"
363516,7,203,272,NA,NA,"","2C4",1,2,"C","",4,"S",1,0,5,4.0999999,90.9000015,NA,0,"","Loose","","","","","Nonsticky","Nonplastic","","","","",5.8000002,"","","","","","","","","","","","","",0,"Diffuse","Smooth","","","","",NA,1611249,"VPI02817",363516,61732,203,272,51901,7,"VPI02817",203,272,"Reporting layer","2C4","2C4","NO","Air-dry","Coarse sand",0.5,4.0999999,30.5,48.4000015,7.5,91,NA,NA,4,NA,NA,5,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8000002,NA,NA,NA,NA,NA,NA,4.3000002,NA,NA,1.7,40,NA,NA,NA,NA,NA,NA,NA,2.5999999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-281","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0281","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363516,8,272,323,NA,NA,"","3C5",1,3,"C","",5,"GR-LCOS",1,0,9.5,4.1999998,86.3000031,NA,1,"","Loose","","","","","Nonsticky","Nonplastic","","","","",5.9000001,"","","","","","","","","","","","","",0,"","","","","","",NA,1611250,"VPI02818",363516,61733,272,323,51901,8,"VPI02818",272,323,"Reporting layer","3C5","3C5","NO","Air-dry","Loamy sand",15.8000002,23.3999996,32.0999985,13.1999998,1.9,86.4000015,NA,NA,4.0999999,NA,NA,9.5,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9000001,NA,NA,NA,NA,NA,NA,3.5,NA,NA,1.9,54,NA,NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-281","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0281","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363517,1,0,18,NA,NA,"","Ap",1,NA,"A","",NA,"LS",1,0,3.7,13.1000004,83.1999969,NA,0,"","Very friable","","","","","Nonsticky","Nonplastic","","","","",4.9000001,"","","","","","","","","","","","","",0,"Clear","Smooth","","","","",NA,1611251,"VPI02821",363517,61734,0,18,51902,1,"VPI02821",0,18,"Reporting layer","Ap","Ap","NO","Air-dry","Loamy coarse sand",0.6,6.6999998,34.7000008,32.4000015,8.8000002,83.1999969,NA,NA,13.1000004,NA,NA,3.7,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9000001,NA,NA,NA,NA,NA,NA,5,NA,NA,0.3,6,NA,NA,NA,NA,NA,NA,NA,4.6999998,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-282","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0282","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363517,2,18,53,NA,NA,"","Bw1",1,NA,"B","",1,"LS",1,0,4.6999998,11.1999998,84.0999985,NA,0,"","Very friable","","","","","Nonsticky","Nonplastic","","","","",4.8000002,"","","","","","","","","","","","","",0,"Diffuse","Smooth","","","","",NA,1611252,"VPI02822",363517,61735,18,53,51902,2,"VPI02822",18,53,"Reporting layer","Bw1","Bw1","NO","Air-dry","Loamy coarse sand",0.6,7,40.2000008,29,7.4000001,84.1999969,NA,NA,11.1000004,NA,NA,4.6999998,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8000002,NA,NA,NA,NA,NA,NA,2.7,NA,NA,0.1,4,NA,NA,NA,NA,NA,NA,NA,2.5999999,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-282","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0282","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363517,3,53,102,NA,NA,"","Bw2",1,NA,"B","",2,"LS",1,0,3.7,11,85.3000031,NA,0,"","Very friable","","","","","Nonsticky","Nonplastic","","","","",5.1999998,"","","","","","","","","","","","","",0,"Diffuse","Smooth","","","","",NA,1611253,"VPI02823",363517,61736,53,102,51902,3,"VPI02823",53,102,"Reporting layer","Bw2","Bw2","NO","Air-dry","Loamy coarse sand",0.7,6.4000001,39,32.2000008,7,85.3000031,NA,NA,11,NA,NA,3.7,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1999998,NA,NA,NA,NA,NA,NA,2.0999999,NA,NA,0.5,24,NA,NA,NA,NA,NA,NA,NA,1.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-282","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0282","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363517,4,102,178,NA,NA,"","C",1,NA,"C","",NA,"S",1,0,0.5,7.5999999,91.9000015,NA,1,"","Loose","","","","","Nonsticky","Nonplastic","","","","",5.4000001,"","","","","","","","","","","","","",0,"","","","","","",NA,1611254,"VPI02824",363517,61737,102,178,51902,4,"VPI02824",102,178,"Reporting layer","C","C","NO","Air-dry","Coarse sand",0.1,2.9000001,36.7000008,44.2000008,5,88.9000015,NA,NA,10.6000004,NA,NA,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4000001,NA,NA,NA,NA,NA,NA,2.3,NA,NA,0.9,39,NA,NA,NA,NA,NA,NA,NA,1.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-282","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0282","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363518,1,0,20,NA,NA,"","Ap",1,NA,"A","",NA,"LS",1,0,5.6999998,7.9000001,86.4000015,NA,0,"","Loose","","","","","Nonsticky","Nonplastic","","","","",5.1999998,"","","","","","","","","","","","","",0,"Abrupt","Smooth","","","","",NA,1611255,"VPI02831",363518,61738,0,20,51903,1,"VPI02831",0,20,"Reporting layer","Ap","Ap","NO","Air-dry","Loamy coarse sand",1.6,5.4000001,21.1000004,47.7000008,10.5,86.3000031,NA,NA,8,NA,NA,5.6999998,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1999998,NA,NA,NA,NA,NA,NA,14.1999998,NA,NA,0.3,2,NA,NA,NA,NA,NA,NA,NA,13.8999996,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-283","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0283","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363518,2,20,46,NA,NA,"","Bw",1,NA,"B","",NA,"LS",1,0,4.6999998,9,86.4000015,NA,0,"","Loose","","","","","Nonsticky","Nonplastic","","","","",5.3000002,"","","","","","","","","","","","","",0,"Diffuse","Smooth","","","","",NA,1611256,"VPI02832",363518,61739,20,46,51903,2,"VPI02832",20,46,"Reporting layer","Bw","Bw","NO","Air-dry","Loamy coarse sand",1.6,4.6999998,19.7999992,49.5,10.8000002,86.4000015,NA,NA,8.8999996,NA,NA,4.6999998,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3000002,NA,NA,NA,NA,NA,NA,4.5,NA,NA,0.4,9,NA,NA,NA,NA,NA,NA,NA,4.0999999,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-283","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0283","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363518,3,46,97,NA,NA,"","C1",1,NA,"C","",1,"FS",1,0,2.2,7,90.8000031,NA,0,"","Loose","","","","","Nonsticky","Nonplastic","","","","",6.4000001,"","","","","","","","","","","","","",0,"Diffuse","Smooth","","","","",NA,1611257,"VPI02833",363518,61740,46,97,51903,3,"VPI02833",46,97,"Reporting layer","C1","C1","NO","Air-dry","Coarse sand",1.4,4.4000001,21.5,52.9000015,10.6000004,90.8000031,NA,NA,7,NA,NA,2.2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4000001,NA,NA,NA,NA,NA,NA,2.7,NA,NA,0.4,15,NA,NA,NA,NA,NA,NA,NA,2.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-283","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0283","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
363518,4,97,160,NA,NA,"","C2",1,NA,"C","",2,"S",1,0,1.7,4.5,93.9000015,NA,0,"","Loose","","","","","Nonsticky","Nonplastic","","","","",6,"","","","","","","","","","","","","",0,"","","","","","",NA,1611258,"VPI02834",363518,61741,97,160,51903,4,"VPI02834",97,160,"Reporting layer","C2","C2","NO","Air-dry","Coarse sand",3.0999999,8.6000004,33.5,42.9000015,5.8000002,93.9000015,NA,NA,4.4000001,NA,NA,1.7,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2.2,NA,NA,0.6,27,NA,NA,NA,NA,NA,NA,NA,1.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/25/2018 20:02:13",1237,"V1984-VA081-283","Tarboro","Mixed, thermic Typic Udipsamments","VPI","VPI0283","No",30427,"Sampled as","9/24/2009 0:00:00","Tarboro","Mixed, thermic Typic Udipsamments","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,"","thermic","","",""
